mu_s,sigma_s,K_P4,D50_sert_mg,RMS_pct
0.50089,0.03961,0.18090,126.237,3.2594
0.53384,0.06206,0.41014,147.412,8.7462
0.50179,0.06531,0.16759,95.230,3.5304
0.42160,0.05324,0.41350,123.802,9.8391
0.50394,0.08809,0.29809,83.635,4.6321
0.44570,0.05393,0.31429,164.656,11.1118
0.50553,0.10485,0.13582,145.757,8.8100
0.48468,0.11158,0.39807,81.910,3.0000
0.55477,0.11829,0.35955,167.866,6.5305
0.57694,0.09605,0.44345,161.739,10.0487
0.57905,0.04474,0.36638,157.012,13.7716
0.50981,0.04721,0.24450,147.174,4.8892
0.38244,0.03974,0.29325,109.254,20.8476
0.45020,0.10224,0.22548,125.927,11.1768
0.39163,0.10589,0.27808,124.838,17.4106
0.46752,0.03333,0.13200,135.084,12.5462
0.51108,0.04023,0.48490,100.649,9.0708
0.53812,0.06273,0.47451,141.103,9.5962
0.53941,0.03671,0.31466,166.201,12.0083
0.48521,0.11437,0.28219,159.712,6.9874
0.38571,0.09793,0.37274,146.780,17.1056
0.43361,0.04034,0.18506,108.815,16.7831
0.42770,0.07194,0.41787,147.626,9.7652
0.53489,0.05875,0.39001,64.498,10.9625
0.58721,0.10043,0.39338,68.968,11.5976
0.48618,0.02237,0.46610,70.483,9.1223
0.54239,0.02144,0.43807,118.097,14.1707
0.41413,0.02521,0.48310,134.091,12.6564
0.44170,0.10837,0.16117,82.690,13.0015
0.42415,0.08486,0.46735,108.122,5.7138
0.56733,0.08450,0.39104,134.452,10.5277
0.50453,0.06129,0.14180,72.220,4.3405
0.48046,0.09645,0.19332,151.594,9.4953
0.48589,0.05819,0.29043,79.784,4.4927
0.37826,0.04371,0.20033,163.400,30.8084
0.58108,0.05110,0.27291,96.745,13.5652
0.41680,0.02355,0.29601,86.878,12.2291
0.40523,0.05625,0.33141,141.883,17.0906
0.40637,0.09680,0.40624,89.067,7.2205
0.57975,0.11861,0.20903,80.541,9.1065
0.43730,0.11358,0.20262,102.186,12.9636
0.51191,0.07695,0.46871,135.620,5.1209
0.46850,0.09890,0.13868,165.912,13.3551
0.55830,0.03345,0.23780,88.073,13.7547
0.47309,0.09807,0.29069,148.773,6.6459
0.52142,0.11692,0.44135,87.560,5.8808
0.42927,0.09918,0.17824,114.783,15.6394
0.56098,0.10098,0.39868,106.758,9.1324
0.55059,0.02809,0.35878,153.691,13.8235
0.41756,0.06116,0.16429,69.521,16.9489
0.49222,0.10141,0.29750,92.441,2.5690
0.48916,0.07844,0.17676,66.105,3.5688
0.52432,0.07862,0.50999,136.374,6.6729
0.53040,0.03815,0.46744,64.950,11.8855
0.41820,0.06075,0.40148,158.371,13.3578
0.58849,0.08603,0.18053,91.474,11.4074
0.57790,0.05809,0.45196,109.825,13.1593
0.47507,0.10301,0.36462,138.382,3.7566
0.38732,0.04764,0.26582,115.158,22.0929
0.43763,0.09767,0.33333,138.094,9.5674
0.54596,0.03256,0.30404,95.462,13.3474
0.48696,0.08503,0.36595,65.894,5.5216
0.51615,0.08397,0.44475,102.376,6.3962
0.54270,0.10918,0.37995,95.823,7.1072
0.38761,0.10944,0.37517,85.792,10.3557
0.52568,0.11090,0.26636,92.007,5.0715
0.43187,0.03132,0.32108,103.570,10.7268
0.43639,0.03181,0.34078,79.120,8.0885
0.59010,0.07495,0.18792,60.808,12.6652
0.41515,0.11048,0.43440,93.335,5.7327
0.58300,0.02000,0.18655,118.847,14.2408
0.60440,0.07974,0.28397,70.285,13.0384
0.45965,0.02924,0.21345,143.000,11.0087
0.55998,0.09173,0.16231,114.328,8.7150
0.55527,0.04966,0.32461,102.858,12.6523
0.43525,0.11479,0.48385,113.249,4.1046
0.39744,0.08222,0.51108,78.596,6.4665
0.48250,0.02084,0.13948,94.739,3.7725
0.45320,0.09653,0.39226,102.642,2.4625
0.48036,0.08069,0.45084,110.658,2.3681
0.49634,0.11017,0.15068,107.080,7.9699
0.51326,0.04268,0.31576,131.781,7.3941
0.49091,0.02219,0.24415,144.972,3.1749
0.60850,0.09488,0.41679,122.962,12.2677
0.48796,0.08918,0.31014,89.737,2.1204
0.45916,0.05863,0.34792,96.112,3.4363
0.55561,0.05727,0.20623,143.621,10.9931
0.59224,0.10478,0.21410,98.027,10.6189
0.49024,0.08273,0.42384,149.931,1.4832
0.52792,0.04527,0.45929,79.409,11.0718
0.52393,0.11255,0.26433,130.775,4.3772
0.56870,0.08098,0.23546,73.772,11.0765
0.47549,0.07897,0.42693,61.004,6.4943
0.43901,0.04646,0.18197,78.428,11.4312
0.40242,0.07272,0.47158,151.830,12.7722
0.48310,0.06928,0.48960,138.123,2.0804
0.47204,0.03184,0.42836,141.409,5.0327
0.50157,0.05081,0.17205,169.349,4.0978
0.47596,0.02503,0.29145,76.217,8.3499
0.56353,0.07929,0.45360,124.194,10.9336
0.52337,0.06754,0.35796,82.115,8.4565
