mu_s,sigma_s,K_P4,D50_sert_mg,RMS_pct
0.43313,0.03921,0.42283,126.931,9.3753
0.60119,0.03699,0.40794,121.585,14.2408
0.49589,0.05567,0.31836,114.047,3.6813
0.56177,0.09508,0.51247,93.848,10.2684
0.50687,0.11148,0.14337,94.524,6.8088
0.60405,0.08194,0.45593,168.521,12.5943
0.47193,0.11982,0.16853,106.147,10.5796
0.42571,0.06499,0.25554,100.363,11.7925
0.44116,0.07300,0.15726,136.477,16.6772
0.43951,0.05674,0.43717,107.337,6.0808
0.58900,0.05192,0.16316,117.539,13.6508
0.37127,0.04316,0.21094,139.038,30.4217
0.49933,0.10572,0.17338,62.123,4.7707
0.55745,0.03075,0.15635,71.307,13.9617
0.51828,0.11796,0.27406,100.123,4.1579
0.41365,0.02557,0.25471,155.573,23.8941
0.46966,0.04896,0.48935,116.098,4.3736
0.52278,0.02104,0.31656,104.358,12.8841
0.43810,0.10515,0.48582,71.595,3.3882
0.39706,0.11066,0.35646,81.635,9.1917
0.38390,0.11914,0.28462,95.648,15.6971
