G_CS,C,D1,D2,Th,stable,n_fp
0.0,0.010185099232715196,0.05705428609219818,0.05705428609220079,0.00973962691230116,0,3
0.0,0.00993829475887305,0.051378492789633155,0.06164018913590045,0.008696539988269646,1,3
0.0,0.01354127911063197,0.14588538801163978,0.01443208359452456,0.021893479275493233,1,3
0.1,0.010186244100995716,0.05708287138340956,0.057082871383414786,0.009744407630317824,0,3
0.1,0.009930519353891264,0.051199000232999135,0.06184377728590983,0.008663267472488865,1,3
0.1,0.013549685271968424,0.14624824299796224,0.014359347017405044,0.021920057121845922,1,3
0.2,0.010187389672454954,0.05711147020264221,0.05711147020264677,0.009749190758050608,0,3
0.2,0.009922813663944338,0.05102090684529319,0.062046710751887904,0.008630268090172666,1,3
0.2,0.013558014480933281,0.14660971608038725,0.014287279663978029,0.021946375861749013,1,3
0.30000000000000004,0.010188535947381366,0.05714008255799874,0.05714008255799721,0.009753976295852337,0,3
0.30000000000000004,0.009915176563807561,0.050844189391160165,0.06224900080558898,0.008597537659307385,1,3
0.30000000000000004,0.013566267915655567,0.14696983040306855,0.014215870092058778,0.02197243966968526,1,3
0.4,0.010189682926062737,0.05716870845757706,0.057168708457578044,0.009758764244072078,0,3
0.4,0.009907606957561583,0.05066882526651871,0.06245065840832104,0.008565072105015828,1,3
0.4,0.013574446724578079,0.14732860847868715,0.014145107170841064,0.02199825261264125,1,3
0.5,0.010190830608787128,0.057197347909494635,0.05719734790949388,0.00976355460305963,0,3
0.5,0.009900103777519287,0.05049479247489104,0.06265169422259703,0.008532867455646867,1,3
0.5,0.013582552027536122,0.1476860722121781,0.014074980069196835,0.02202381865403407,1,3
0.6000000000000001,0.01019197899584182,0.05722600092186267,0.05722600092186188,0.00976834737316071,0,3
0.6000000000000001,0.009892665983197229,0.050322069604720306,0.06285211862335162,0.008500919839023346,1,3
0.6000000000000001,0.013590584916784639,0.1480422429233192,0.014005478244536006,0.022049141657451084,1,3
0.7000000000000001,0.01019312808751396,0.0572546675028007,0.05725466750280058,0.009773142554719715,0,3
0.7000000000000001,0.009885292560342552,0.050150635807935905,0.06305194170847657,0.00846922547889696,1,3
0.7000000000000001,0.013598546457977952,0.14839714136825613,0.01393659143218662,0.022074225390216577,1,3
0.8,0.010194277884090398,0.05728334766043385,0.05728334766043196,0.009777940148079116,0,3
0.8,0.009877982519999235,0.04998047077939143,0.06325117330897415,0.008437780691543096,1,3
0.8,0.013606437691103129,0.1487507877599843,0.01386830963529736,0.022099073526790237,1,3
0.9,0.010195428385857432,0.05731204140288627,0.05731204140288641,0.009782740153578334,0,3
0.9,0.00987073489761931,0.04981155473730946,0.06344982299859273,0.008406581882521082,1,3
0.9,0.013614259631377251,0.14910320178806175,0.013800623115126573,0.02212368965203033,1,3
1.0,0.01019657959310132,0.05734074873829323,0.0573407487382935,0.009787542571555907,0,3
1.0,0.009863548752213581,0.049643868404606356,0.06364790010303455,0.008375625543578012,1,3
1.0,0.013622013270089094,0.14945440263700122,0.013733522381939213,0.022148077264262687,1,3
1.1,0.01019773150610783,0.0573694696747908,0.05736946967478987,0.009792347402347619,0,3
1.1,0.009856423165540461,0.04947739299106524,0.06384541370874414,0.008344908249691143,1,3
1.1,0.013629699575423069,0.14980440900437383,0.01366699818611507,0.02217223977827448,1,3
1.2000000000000002,0.01019888412516234,0.057398204220517765,0.057398204220517716,0.009797154646286808,0,3
1.2000000000000002,0.009849357241330963,0.04931211017631927,0.06404237267129338,0.008314426656243067,1,3
1.2000000000000002,0.013637319493232368,0.15015323911770456,0.013601041509800092,0.02219618052813039,1,3
1.3,0.010200037450550035,0.057426952383621,0.05742695238362073,0.009801964303705404,0,3
1.3,0.009842350104547246,0.0491480020935774,0.06423878562340576,0.008284177496318067,1,3
1.3,0.013644873947783,0.15050091075073294,0.013535643558883795,0.022219902769880395,1,3
1.4000000000000001,0.010201191482555654,0.057455714172249255,0.05745571417224872,0.009806776374932723,0,3
1.4000000000000001,0.009835400900673348,0.04898505131407067,0.06443466098262336,0.00825415757811646,1,3
1.4000000000000001,0.01365236384246664,0.1508474412390084,0.0134707957553173,0.022243409684153313,1,3
1.5,0.010202346221463623,0.05748448959455589,0.05748448959455556,0.009811590860296001,0,3
1.5,0.009828508795036748,0.04882324083218115,0.06463000695863554,0.008224363782480966,1,3
1.5,0.013659790060481323,0.15119284749474066,0.013406489729785873,0.022266704378634053,1,3
1.6,0.010203501667558014,0.05751327865869857,0.05751327865869952,0.009816407760120346,0,3
1.6,0.009821672972158635,0.04866255405121248,0.06482483156029108,0.008194793060528017,1,3
1.6,0.01366715346548394,0.1515371460210378,0.013342717314688094,0.022289789890437717,1,3
1.7000000000000002,0.010204657821122677,0.05754208137284171,0.05754208137284119,0.009821227074729119,0,3
1.7000000000000002,0.009814892635131184,0.04850297476975872,0.0650191426023196,0.008165442431377106,1,3
1.7000000000000002,0.013674454902215503,0.15188035292553972,0.013279470537413957,0.022312669188384267,1,3
1.8,0.010205814682440886,0.05757089774514902,0.057570897745149306,0.009826048804442664,0,3
1.8,0.009808167005021372,0.0483444871686633,0.06521294771175666,0.008136308979977096,1,3
1.8,0.01368169519709932,0.15222248393343296,0.013216741613923486,0.022335345175175624,1,3
1.9000000000000001,0.01020697225179579,0.05759972778379368,0.05759972778379291,0.009830872949580068,0,3
1.9000000000000001,0.009801495320299114,0.04818707579851932,0.06540625433410431,0.008107389855021232,1,3
1.9000000000000001,0.013688875158816317,0.15256355439998695,0.01315452294256901,0.022357820689487596,1,3
2.0,0.010208130529470028,0.057628571496948826,0.05762857149694855,0.00983569951045745,0,3
2.0,0.009794876836289025,0.048030725567692764,0.0655990697392327,0.008078682266948153,1,3
2.0,0.013695995578855303,0.15290357932251164,0.013092807098196201,0.022380098507972204,1,3
2.1,0.010209289515745977,0.05765742889279458,0.05765742889279497,0.009840528487389285,0,3
2.1,0.009788310824644045,0.04787542173083084,0.06579140102704548,0.008050183486022322,1,3
2.1,0.013703057232041712,0.15324257335184766,0.013031586826478581,0.022402181347180944,1,3
2.2,0.010210449210905694,0.057686299979515736,0.057686299979514855,0.009845359880687906,0,3
2.2,0.009781796572840621,0.04772114987784988,0.06598325513290491,0.008021890840493538,1,3
2.2,0.013710060877045205,0.15358055080338456,0.01297085503848464,0.022424071865410514,1,3
2.3000000000000003,0.010211609615230733,0.05771518476529796,0.057715184765297675,0.009850193690662852,0,3
2.3000000000000003,0.00977533338369401,0.04756789592336744,0.0661746388328382,0.007993801714829421,1,3
2.3000000000000003,0.013717007256866816,0.15391752566762965,0.012910604805465882,0.02244577266447508,1,3
2.4000000000000004,0.010212770729002457,0.057744083258334945,0.05774408325833424,0.009855029917622151,0,3
2.4000000000000004,0.009768920574892327,0.04741564609655127,0.06636555874854122,0.007965913548016379,1,3
2.4000000000000004,0.013723897099307129,0.15425351162035325,0.012850829353853814,0.022467286291408633,1,3
2.5,0.010213932552501774,0.05777299546682202,0.05777299546682159,0.009859868561871179,0,3
2.5,0.009762557478549353,0.04726438693138216,0.06655602135217407,0.007938223831928848,1,3
2.5,0.013730731117416349,0.1545885220323382,0.012791522060453557,0.022488615240101442,1,3
2.6,0.010215095086009292,0.05780192139896045,0.057801921398959566,0.009864709623713365,0,3
2.6,0.009756243440773568,0.04711410525727506,0.06674603297099047,0.007910730109757126,1,3
2.6,0.013737510009926688,0.15492256997873055,0.012732676447831501,0.02250976195287244,1,3
